epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
101,1342.79,0.66637,0.94755,0.99652,1,0.99149,0.995,0.88497,0.42824,1.03546,0.76008,0.00204,0.00068,0.00204,0.00068,0.00204,0.00068,0.00204,0.00068
102,1357.1,0.60154,0.92183,0.9172,1,0.99149,0.995,0.88497,0.42824,1.03546,0.76008,0.0020004,0.0006668,0.0020004,0.0006668,0.0020004,0.0006668,0.0020004,0.0006668
103,1371.54,0.58653,0.90698,0.89206,1,0.98598,0.995,0.86421,0.4177,1.0485,0.75535,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
104,1385.75,0.52333,0.98338,0.92119,1,0.98598,0.995,0.86421,0.4177,1.0485,0.75535,0.0019212,0.0006404,0.0019212,0.0006404,0.0019212,0.0006404,0.0019212,0.0006404
105,1400.16,0.61019,1.01046,1.00545,1,0.98828,0.995,0.88497,0.41397,1.0108,0.7582,0.0018816,0.0006272,0.0018816,0.0006272,0.0018816,0.0006272,0.0018816,0.0006272
106,1413.96,0.53256,0.85527,0.92562,1,0.98828,0.995,0.88497,0.41397,1.0108,0.7582,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
107,1428.35,0.63833,1.1296,1.06706,1,0.98828,0.995,0.88497,0.41397,1.0108,0.7582,0.0018024,0.0006008,0.0018024,0.0006008,0.0018024,0.0006008,0.0018024,0.0006008
108,1442.62,0.64244,0.88447,0.99142,1,0.99214,0.995,0.92856,0.42671,0.99643,0.76099,0.0017628,0.0005876,0.0017628,0.0005876,0.0017628,0.0005876,0.0017628,0.0005876
109,1456.72,0.56324,0.93456,0.91055,1,0.99214,0.995,0.92856,0.42671,0.99643,0.76099,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
110,1470.69,0.5689,0.87553,0.95095,1,0.99214,0.995,0.92856,0.42671,0.99643,0.76099,0.0016836,0.0005612,0.0016836,0.0005612,0.0016836,0.0005612,0.0016836,0.0005612
111,1485.18,0.55009,0.90721,0.9577,1,0.99448,0.995,0.90779,0.4299,0.98824,0.76161,0.001644,0.000548,0.001644,0.000548,0.001644,0.000548,0.001644,0.000548
112,1499.66,0.51542,0.87034,0.9267,1,0.99448,0.995,0.90779,0.4299,0.98824,0.76161,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
113,1514.1,0.48311,0.85692,0.91359,1,0.99956,0.995,0.90779,0.43016,0.99773,0.76154,0.0015648,0.0005216,0.0015648,0.0005216,0.0015648,0.0005216,0.0015648,0.0005216
114,1530.91,0.60648,0.96283,0.95955,1,0.99956,0.995,0.90779,0.43016,0.99773,0.76154,0.0015252,0.0005084,0.0015252,0.0005084,0.0015252,0.0005084,0.0015252,0.0005084
115,1544.79,0.59466,0.94926,0.94697,1,0.99956,0.995,0.90779,0.43016,0.99773,0.76154,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
116,1560.02,0.58725,0.93491,0.95204,0.99561,1,0.995,0.90779,0.40818,1.0036,0.75665,0.001446,0.000482,0.001446,0.000482,0.001446,0.000482,0.001446,0.000482
117,1574.34,0.61463,0.93507,0.98187,0.99561,1,0.995,0.90779,0.40818,1.0036,0.75665,0.0014064,0.0004688,0.0014064,0.0004688,0.0014064,0.0004688,0.0014064,0.0004688
118,1589.99,0.55971,0.83527,0.92376,0.99561,1,0.995,0.90779,0.40818,1.0036,0.75665,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
119,1604.41,0.55057,0.84791,0.92911,0.99702,1,0.995,0.95142,0.39669,1.0128,0.75348,0.0013272,0.0004424,0.0013272,0.0004424,0.0013272,0.0004424,0.0013272,0.0004424
120,1618.68,0.47254,0.79353,0.9093,0.99702,1,0.995,0.95142,0.39669,1.0128,0.75348,0.0012876,0.0004292,0.0012876,0.0004292,0.0012876,0.0004292,0.0012876,0.0004292
121,1633.33,0.54766,0.79286,0.90924,0.99477,1,0.995,0.95142,0.38356,1.01927,0.75127,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
122,1647.59,0.43208,0.96272,0.92353,0.99477,1,0.995,0.95142,0.38356,1.01927,0.75127,0.0012084,0.0004028,0.0012084,0.0004028,0.0012084,0.0004028,0.0012084,0.0004028
123,1661.92,0.48811,0.79335,0.95726,0.99477,1,0.995,0.95142,0.38356,1.01927,0.75127,0.0011688,0.0003896,0.0011688,0.0003896,0.0011688,0.0003896,0.0011688,0.0003896
124,1676.53,0.63512,0.90165,0.99518,0.99309,1,0.995,0.96379,0.3728,1.01806,0.74857,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
125,1690.72,0.54583,0.86234,0.91758,0.99309,1,0.995,0.96379,0.3728,1.01806,0.74857,0.0010896,0.0003632,0.0010896,0.0003632,0.0010896,0.0003632,0.0010896,0.0003632
126,1704.76,0.55292,0.78824,0.90303,0.99309,1,0.995,0.96379,0.3728,1.01806,0.74857,0.00105,0.00035,0.00105,0.00035,0.00105,0.00035,0.00105,0.00035
127,1719.06,0.56217,0.89405,0.91338,0.98994,1,0.995,0.96379,0.37369,1.0005,0.74839,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
128,1732.94,0.51506,0.86539,0.91931,0.98994,1,0.995,0.96379,0.37369,1.0005,0.74839,0.0009708,0.0003236,0.0009708,0.0003236,0.0009708,0.0003236,0.0009708,0.0003236
129,1746.76,0.59942,0.971,0.94653,0.98808,1,0.995,0.93259,0.38015,0.99545,0.7466,0.0009312,0.0003104,0.0009312,0.0003104,0.0009312,0.0003104,0.0009312,0.0003104
130,1761.02,0.50438,0.83266,0.91803,0.98808,1,0.995,0.93259,0.38015,0.99545,0.7466,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
131,1775.21,0.47063,0.8291,0.9099,0.98808,1,0.995,0.93259,0.38015,0.99545,0.7466,0.000852,0.000284,0.000852,0.000284,0.000852,0.000284,0.000852,0.000284
